unit,age,sex,geography,date,value
RT,TOTAL,C,F,2011,205.15
RT,TOTAL,C,F,2011,206.39
RT,TOTAL,C,F,2011,170.16
RT,TOTAL,C,F,2011,177.3
RT,TOTAL,C,F,2011,149.65
RT,TOTAL,C,F,2011,232.16
RT,TOTAL,C,F,2011,209.53
RT,TOTAL,C,F,2011,270.23
RT,TOTAL,C,F,2011,213.75
RT,TOTAL,C,F,2011,170.71
RT,TOTAL,C,F,2011,162.23
RT,TOTAL,C,F,2011,201.02
RT,TOTAL,C,F,2011,205.09
RT,TOTAL,C,F,2011,183.23
RT,TOTAL,C,F,2011,179.56
RT,TOTAL,C,F,2011,245.12
RT,TOTAL,C,F,2011,268.09
RT,TOTAL,C,F,2011,250.96
RT,TOTAL,C,F,2011,220.74
RT,TOTAL,C,F,2011,195.5
RT,TOTAL,C,F,2011,222.17
RT,TOTAL,C,F,2011,199.99
RT,TOTAL,C,F,2011,207.83
RT,TOTAL,C,F,2011,217.1
RT,TOTAL,C,F,2011,200.48
RT,TOTAL,C,F,2011,246.75
RT,TOTAL,C,F,2011,215.55
RT,TOTAL,C,F,2011,220.84
RT,TOTAL,C,F,2011,172.14
RT,TOTAL,C,F,2011,190.25
RT,TOTAL,C,F,2011,229.11
RT,TOTAL,C,F,2011,204.13
RT,TOTAL,C,F,2011,236.44
RT,TOTAL,C,F,2011,231.58
RT,TOTAL,C,F,2011,122.19
RT,TOTAL,C,F,2011,240.54
RT,TOTAL,C,M,2011,336.18
RT,TOTAL,C,M,2011,358.36
RT,TOTAL,C,M,2011,310.83
RT,TOTAL,C,M,2011,309.1
RT,TOTAL,C,M,2011,252.37
RT,TOTAL,C,M,2011,407.74
RT,TOTAL,C,M,2011,346.03
RT,TOTAL,C,M,2011,387.68
RT,TOTAL,C,M,2011,461.36
RT,TOTAL,C,M,2011,338.92
RT,TOTAL,C,M,2011,357.09
RT,TOTAL,C,M,2011,366.37
RT,TOTAL,C,M,2011,363.23
RT,TOTAL,C,M,2011,296.24
RT,TOTAL,C,M,2011,357.22
RT,TOTAL,C,M,2011,494.52
RT,TOTAL,C,M,2011,501.5
RT,TOTAL,C,M,2011,369.82
RT,TOTAL,C,M,2011,316.71
RT,TOTAL,C,M,2011,356.15
RT,TOTAL,C,M,2011,289.29
RT,TOTAL,C,M,2011,442.59
RT,TOTAL,C,M,2011,362.57
RT,TOTAL,C,M,2011,472.99
RT,TOTAL,C,M,2011,314.93
RT,TOTAL,C,M,2011,382.98
RT,TOTAL,C,M,2011,339.65
RT,TOTAL,C,M,2011,423.01
RT,TOTAL,C,M,2011,353.36
RT,TOTAL,C,M,2011,368.41
RT,TOTAL,C,M,2011,393.41
RT,TOTAL,C,M,2011,290.36
RT,TOTAL,C,M,2011,458.67
RT,TOTAL,C,M,2011,476.74
RT,TOTAL,C,M,2011,287.14
RT,TOTAL,C,M,2011,352.62
RT,TOTAL,C,T,2011,256.26
RT,TOTAL,C,T,2011,267.59
RT,TOTAL,C,T,2011,229.12
RT,TOTAL,C,T,2011,229.75
RT,TOTAL,C,T,2011,194.52
RT,TOTAL,C,T,2011,301.25
RT,TOTAL,C,T,2011,263.26
RT,TOTAL,C,T,2011,317.34
